Year,County,State,Administered_Dose_Count,Population,Avg Temp,Max Temp,Min Temp,Death Per 100k
2021.0,Abbeville County,South Carolina,10308.0,24262.0,62.5,73.1,52.0,3139.0685110911027
2022.0,Abbeville County,South Carolina,11362.0,24338.0,62.7,73.7,51.6,3139.0685110911027
2023.0,Abbeville County,South Carolina,11411.0,24434.0,63.3,74.5,52.2,3139.0685110911027
2021.0,Acadia Parish,Louisiana,35002.0,57217.0,68.2,77.4,59.1,3917.576873373577
2022.0,Acadia Parish,Louisiana,37424.0,56725.0,68.1,78.3,57.8,3917.576873373577
2023.0,Acadia Parish,Louisiana,37515.0,56489.0,70.9,81.2,60.6,3917.576873373577
2021.0,Accomack County,Virginia,25024.0,33410.0,59.5,68.3,50.6,4867.775805529649
2022.0,Accomack County,Virginia,27816.0,33223.0,58.9,68.2,49.6,4867.775805529649
2023.0,Accomack County,Virginia,28028.0,33239.0,60.1,69.1,51.1,4867.775805529649
2021.0,Ada County,Idaho,289270.0,513025.0,53.7,66.3,41.2,3086.493873326815
2022.0,Ada County,Idaho,359854.0,519004.0,51.3,63.9,38.6,3086.493873326815
2023.0,Ada County,Idaho,362247.0,524673.0,52.0,63.8,40.3,3086.493873326815
2021.0,Adair County,Iowa,3668.0,7524.0,50.3,61.2,39.4,4547.300040600893
2022.0,Adair County,Iowa,3891.0,7457.0,48.4,60.7,36.2,4547.300040600893
2023.0,Adair County,Iowa,3907.0,7389.0,51.2,62.7,39.7,4547.300040600893
2021.0,Adair County,Kentucky,7927.0,18966.0,57.4,67.9,46.9,2777.200996677741
2022.0,Adair County,Kentucky,8712.0,19097.0,56.6,67.8,45.5,2777.200996677741
2023.0,Adair County,Kentucky,8737.0,19264.0,58.5,69.3,47.8,2777.200996677741
2021.0,Adair County,Missouri,12575.0,25188.0,53.7,63.6,43.7,3152.615237640315
2022.0,Adair County,Missouri,13815.0,25151.0,51.4,62.6,40.2,3152.615237640315
2023.0,Adair County,Missouri,13895.0,25122.0,54.3,65.6,43.0,3152.615237640315
