Name,State,Avg 2023,Max 2023,Min 2023
Autauga County,Alabama,66.4,78.1,54.6
Baldwin County,Alabama,69.8,80.2,59.4
Barbour County,Alabama,66.7,77.8,55.6
Bibb County,Alabama,64.7,76.6,52.8
Blount County,Alabama,63.3,73.8,52.7
Bullock County,Alabama,66.1,77.2,55
Butler County,Alabama,67.1,79.5,54.7
Calhoun County,Alabama,63.5,75,51.9
Chambers County,Alabama,63.2,75.2,51.1
Cherokee County,Alabama,62.4,73.9,51
Chilton County,Alabama,64.8,76.9,52.9
Choctaw County,Alabama,67.4,79.2,55.6
Clarke County,Alabama,67.4,78.9,55.8
Clay County,Alabama,62.8,74.9,50.8
Cleburne County,Alabama,62.6,74.2,50.9
Coffee County,Alabama,67.5,79.3,55.6
Colbert County,Alabama,62.6,74.3,50.9
Conecuh County,Alabama,67.5,79.7,55.3
Coosa County,Alabama,64.3,76.3,52.3
Covington County,Alabama,67.8,80.1,55.5
Crenshaw County,Alabama,66.7,79,54.5
Cullman County,Alabama,63,73.5,52.5
Dale County,Alabama,67.6,78.9,56.4
Dallas County,Alabama,67,78.6,55.4
DeKalb County,Alabama,60.8,71.1,50.4
Elmore County,Alabama,65.6,77,54.2
Escambia County,Alabama,68.1,79.8,56.3
Etowah County,Alabama,63.2,74.1,52.3
Fayette County,Alabama,63.7,75.6,51.8
Franklin County,Alabama,62.4,73.7,51.1
Geneva County,Alabama,68.1,79.9,56.3
Greene County,Alabama,65.7,77.4,54
Hale County,Alabama,65.6,77.2,54
Henry County,Alabama,67.6,78.5,56.8
Houston County,Alabama,68.4,79.7,57.2
Jackson County,Alabama,61.2,71.7,50.6
Jefferson County,Alabama,64.2,75.8,52.6
Lamar County,Alabama,64.1,75.7,52.5
Lauderdale County,Alabama,61.9,73.7,50.1
Lawrence County,Alabama,62.2,73.6,50.7
Lee County,Alabama,64.6,75.9,53.3
Limestone County,Alabama,62,73,50.8
Lowndes County,Alabama,67.1,78.9,55.4
Macon County,Alabama,65.8,76.8,54.8
Madison County,Alabama,62.1,73.1,51.2
Marengo County,Alabama,66.7,78.4,54.9
Marion County,Alabama,62.7,74.1,51.2
Marshall County,Alabama,62.7,73,52.5
Mobile County,Alabama,70,80.9,59
Monroe County,Alabama,67.5,79.3,55.6
Montgomery County,Alabama,66.5,77.7,55.2
Morgan County,Alabama,62.7,73.5,51.9
Perry County,Alabama,65.8,77.4,54.2
Pickens County,Alabama,65,76.6,53.3
Pike County,Alabama,66.8,78.4,55.2
Randolph County,Alabama,62.9,74.9,50.9
Russell County,Alabama,65.9,77.4,54.4
St. Clair County,Alabama,63.6,75.1,52.1
Shelby County,Alabama,64.3,76.3,52.2
Sumter County,Alabama,66.3,78.2,54.4
Talladega County,Alabama,64,76.2,51.7
Tallapoosa County,Alabama,63.8,75.8,51.8
Tuscaloosa County,Alabama,64.7,76.3,53
Walker County,Alabama,63.6,75.3,51.9
Washington County,Alabama,68.1,80,56.3
Wilcox County,Alabama,67.3,79,55.5
Winston County,Alabama,62.3,73.8,50.9
Apache County,Arizona,50.8,65.5,36
Cochise County,Arizona,62,77.8,46.1
Coconino County,Arizona,52.7,67.1,38.3
Gila County,Arizona,60.2,74.2,46.2
Graham County,Arizona,62.2,76.2,48.2
Greenlee County,Arizona,57.4,71.6,43.2
La Paz County,Arizona,72,85.2,58.8
Maricopa County,Arizona,70.9,84.5,57.3
Mohave County,Arizona,62.1,74.4,49.7
Navajo County,Arizona,52.1,67.2,36.9
Pima County,Arizona,68.5,83.7,53.2
Pinal County,Arizona,69.7,83.7,55.6
Santa Cruz County,Arizona,61.6,77.3,45.9
Yavapai County,Arizona,59.7,74.5,44.9
Yuma County,Arizona,72.8,86.9,58.6
Arkansas County,Arkansas,65.1,75.2,55
Ashley County,Arkansas,66.4,77.8,55
Baxter County,Arkansas,59.8,71.5,48.1
Benton County,Arkansas,59.9,71.7,48.2
Boone County,Arkansas,59.3,71,47.6
Bradley County,Arkansas,65.6,76.9,54.4
Calhoun County,Arkansas,64.9,76.5,53.3
Carroll County,Arkansas,59.3,70.8,47.7
Chicot County,Arkansas,66.4,77.4,55.3
Clark County,Arkansas,63.8,75.3,52.2
Clay County,Arkansas,61.5,72.1,50.9
Cleburne County,Arkansas,61.9,72.7,51.1
Cleveland County,Arkansas,64.9,75.8,53.9
Columbia County,Arkansas,65,76.2,53.9
Conway County,Arkansas,62.5,74.1,50.8
Craighead County,Arkansas,62.3,72.3,52.3
Crawford County,Arkansas,62.3,73.7,51
Crittenden County,Arkansas,63.9,74.3,53.6
Cross County,Arkansas,63,73.1,52.9
Dallas County,Arkansas,64,75.3,52.6
Desha County,Arkansas,65.5,75.9,55
Drew County,Arkansas,65.8,76.6,55.1
Faulkner County,Arkansas,62.9,74,51.7
Franklin County,Arkansas,61.9,73.1,50.7
Fulton County,Arkansas,59.8,71.4,48.1
Garland County,Arkansas,63.3,74.6,51.9
Grant County,Arkansas,64.3,75.5,53
Greene County,Arkansas,61.9,72,51.7
Hempstead County,Arkansas,64.3,75.2,53.3
Hot Spring County,Arkansas,63.8,75.2,52.4
Howard County,Arkansas,63.1,74.5,51.7
Independence County,Arkansas,61.4,72,50.8
Izard County,Arkansas,60.2,71.5,48.9
Jackson County,Arkansas,62,72.3,51.7
Jefferson County,Arkansas,64.9,75.7,54.2
Johnson County,Arkansas,61.2,72.2,50.2
Lafayette County,Arkansas,65.8,76.6,55
Lawrence County,Arkansas,61.3,71.5,51.1
Lee County,Arkansas,64.5,74.6,54.3
Lincoln County,Arkansas,65.5,76.1,54.9
Little River County,Arkansas,65.3,76.2,54.5
Logan County,Arkansas,62.8,74.3,51.2
Lonoke County,Arkansas,64.3,74.6,54
Madison County,Arkansas,59.3,70.2,48.3
Marion County,Arkansas,59.7,71.5,47.8
Miller County,Arkansas,66.4,76.9,55.9
Mississippi County,Arkansas,62.5,72.6,52.3
Monroe County,Arkansas,64.7,74.6,54.8
Montgomery County,Arkansas,62.5,74.2,50.9
Nevada County,Arkansas,64,75.3,52.7
Newton County,Arkansas,58.7,69.2,48.3
Ouachita County,Arkansas,64.3,76.1,52.5
Perry County,Arkansas,63.2,74.9,51.4
Phillips County,Arkansas,64.9,75.2,54.7
Pike County,Arkansas,63,74.5,51.4
Poinsett County,Arkansas,62.6,72.6,52.5
Polk County,Arkansas,61.3,72.6,49.9
Pope County,Arkansas,61.5,73,50
Prairie County,Arkansas,64.6,74.4,54.7
Pulaski County,Arkansas,64.1,74.9,53.2
Randolph County,Arkansas,60.9,71.8,50
St. Francis County,Arkansas,63.9,74.1,53.7
Saline County,Arkansas,63.7,74.6,52.7
Scott County,Arkansas,62.1,73.7,50.5
Searcy County,Arkansas,59.2,70.2,48.2
Sebastian County,Arkansas,63.2,74.8,51.5
Sevier County,Arkansas,63.9,75.3,52.5
Sharp County,Arkansas,60.2,71.1,49.2
Stone County,Arkansas,60.3,71.4,49.3
Union County,Arkansas,65.6,77.2,54
Van Buren County,Arkansas,60.6,71.7,49.3
Washington County,Arkansas,60.3,71.7,49
White County,Arkansas,63.2,73.4,53
Woodruff County,Arkansas,63.3,73.3,53.2
Yell County,Arkansas,63.2,75,51.3
Alameda County,California,59.2,69.9,48.4
Alpine County,California,43.6,54.4,32.9
Amador County,California,57.6,69.4,45.9
Butte County,California,59.8,72.3,47.3
Calaveras County,California,58,70.1,45.9
Colusa County,California,61.7,74.4,49.1
Contra Costa County,California,59.7,70.8,48.7
Del Norte County,California,51.8,61.3,42.2
El Dorado County,California,53.4,64.2,42.7
Fresno County,California,55.4,67.3,43.5
Glenn County,California,60.3,72.2,48.3
Humboldt County,California,54.2,64.4,43.9
Imperial County,California,74,87.1,60.9
Inyo County,California,59.8,71.9,47.8
Kern County,California,61,73,49.1
Kings County,California,63.8,76.8,50.7
Lake County,California,56.7,68,45.5
Lassen County,California,46.6,59.5,33.8
Los Angeles County,California,60.8,71.8,49.8
Madera County,California,56.1,68.3,43.8
Marin County,California,56.2,64.5,48
Mariposa County,California,55,67.5,42.5
Mendocino County,California,55.2,65.9,44.5
Merced County,California,61.9,74.3,49.6
Modoc County,California,46.9,59.8,33.9
Mono County,California,43.5,56.8,30.2
Monterey County,California,58.4,71.3,45.6
Napa County,California,59.2,71.3,47
Nevada County,California,51.7,63.4,40
Orange County,California,63.6,73,54
Placer County,California,53.1,64.7,41.6
Plumas County,California,47.1,59.3,34.8
Riverside County,California,68,80.2,55.9
Sacramento County,California,62.2,75,49.4
San Benito County,California,58.6,70.8,46.4
San Bernardino County,California,65.7,77.7,53.7
San Diego County,California,62.1,74.6,49.6
San Francisco County,California,56.9,64.2,49.5
San Joaquin County,California,62.2,75.4,49.1
San Luis Obispo County,California,58.9,71.5,46.3
San Mateo County,California,56.9,65.7,48
Santa Barbara County,California,57.7,68.9,46.4
Santa Clara County,California,58.2,69.4,47.1
Santa Cruz County,California,57.7,68.6,46.6
Shasta County,California,55.2,67.5,42.9
Sierra County,California,46.6,58.6,34.5
Siskiyou County,California,49.3,60.6,38
Solano County,California,60.8,73,48.6
Sonoma County,California,56.7,67.2,46.3
Stanislaus County,California,61.3,73.8,48.8
Sutter County,California,63.1,76.2,50.1
Tehama County,California,58.6,70.2,46.9
Trinity County,California,52.9,64.8,40.9
Tulare County,California,54,65.3,42.7
Tuolumne County,California,49.6,61.6,37.7
Ventura County,California,57.2,68.5,45.9
Yolo County,California,61.6,74.9,48.3
Yuba County,California,60.6,72.8,48.3
Adams County,Colorado,49.3,64,34.6
Alamosa County,Colorado,43.9,60.4,27.4
Arapahoe County,Colorado,48.9,63.6,34.2
Archuleta County,Colorado,43.5,57.8,29.3
Baca County,Colorado,54.7,69.8,39.5
Bent County,Colorado,53.8,69.4,38.1
Boulder County,Colorado,44,57,30.9
Broomfield County,Colorado,50.4,64.7,36.1
Chaffee County,Colorado,37.6,51,24.3
Cheyenne County,Colorado,51.7,66.5,36.9
Clear Creek County,Colorado,37,48.6,25.4
Conejos County,Colorado,40.9,55.1,26.6
Costilla County,Colorado,41.9,56.8,27.1
Crowley County,Colorado,52.5,68.6,36.5
Custer County,Colorado,41.8,55.3,28.4
Delta County,Colorado,46.5,59.4,33.7
Denver County,Colorado,50.6,64.4,36.7
Dolores County,Colorado,42.6,56.1,29.1
Douglas County,Colorado,47.1,60.7,33.5
Eagle County,Colorado,38.9,51.7,26.1
Elbert County,Colorado,47.8,63.1,32.5
El Paso County,Colorado,48.6,63,34.2
Fremont County,Colorado,45.8,60.1,31.4
Garfield County,Colorado,43.3,54.8,31.7
Gilpin County,Colorado,38.5,50.2,26.8
Grand County,Colorado,36.6,49.6,23.7
Gunnison County,Colorado,37.8,51,24.5
Hinsdale County,Colorado,35,47.5,22.5
Huerfano County,Colorado,47.4,61.5,33.2
Jackson County,Colorado,35.8,49.2,22.4
Jefferson County,Colorado,45.9,59,32.9
Kiowa County,Colorado,52.6,67.9,37.4
Kit Carson County,Colorado,51.2,65.6,36.7
Lake County,Colorado,33.4,47.1,19.7
La Plata County,Colorado,44.6,58.5,30.7
Larimer County,Colorado,42,54.5,29.4
Las Animas County,Colorado,51.6,66.4,36.7
Lincoln County,Colorado,49.9,65.7,34.2
Logan County,Colorado,49.7,63.2,36.1
Mesa County,Colorado,47.7,60.1,35.3
Mineral County,Colorado,35.8,49,22.5
Moffat County,Colorado,43,56,29.9
Montezuma County,Colorado,48.7,62.4,35.1
Montrose County,Colorado,47.9,60.9,34.8
Morgan County,Colorado,49.5,64,35
Otero County,Colorado,53.6,69.2,37.9
Ouray County,Colorado,41.9,55.5,28.2
Park County,Colorado,37.9,51.6,24.2
Phillips County,Colorado,50.3,63.8,36.7
Pitkin County,Colorado,37,49.4,24.7
Prowers County,Colorado,53.9,69.3,38.3
Pueblo County,Colorado,53,67.9,38
Rio Blanco County,Colorado,43.6,56,31.1
Rio Grande County,Colorado,40.5,55.3,25.8
Routt County,Colorado,39.3,52.1,26.5
Saguache County,Colorado,39.3,54,24.6
San Juan County,Colorado,34.1,46.2,22.1
San Miguel County,Colorado,44.6,58.1,31.1
Sedgwick County,Colorado,49.8,62.8,36.8
Summit County,Colorado,35,47.5,22.4
Teller County,Colorado,40.4,54.2,26.6
Washington County,Colorado,49.2,63.3,35.1
Weld County,Colorado,48.7,63,34.4
Yuma County,Colorado,51.2,64.8,37.6
Fairfield County,Connecticut,53.4,63.2,43.6
Hartford County,Connecticut,52.6,62.7,42.6
Litchfield County,Connecticut,50.2,60.3,40.1
Middlesex County,Connecticut,52.9,62.5,43.3
New Haven County,Connecticut,52.6,62.3,43
New London County,Connecticut,53,62.2,43.8
Tolland County,Connecticut,51.5,61.5,41.5
Windham County,Connecticut,51.6,61.4,41.8
Kent County,Delaware,57.8,67.6,48.1
New Castle County,Delaware,56.8,66.3,47.4
Sussex County,Delaware,58.7,68.7,48.7
Alachua County,Florida,71.3,82.6,60
Baker County,Florida,70,82.1,58
Bay County,Florida,70.2,80.2,60.1
Bradford County,Florida,70.9,82.3,59.5
Brevard County,Florida,74.7,82.5,66.9
Broward County,Florida,77.7,87.1,68.4
Calhoun County,Florida,69.5,80.8,58.1
Charlotte County,Florida,75.5,85.4,65.7
Citrus County,Florida,73.1,83.3,62.8
Clay County,Florida,71.8,82.5,61.1
Collier County,Florida,77.2,87.2,67.3
Columbia County,Florida,69.8,81.9,57.6
DeSoto County,Florida,74.8,85.8,63.8
Dixie County,Florida,71.3,82.2,60.4
Duval County,Florida,71.5,81.7,61.2
Escambia County,Florida,70,80.3,59.7
Flagler County,Florida,73.2,82.8,63.7
Franklin County,Florida,70.2,80.2,60.2
Gadsden County,Florida,69.2,80.8,57.5
Gilchrist County,Florida,71,82.7,59.3
Glades County,Florida,75.4,85.8,64.9
Gulf County,Florida,70.1,80.2,60
Hamilton County,Florida,68.9,80.9,56.9
Hardee County,Florida,74.8,86.1,63.6
Hendry County,Florida,76,86.5,65.6
Hernando County,Florida,73.7,84,63.3
Highlands County,Florida,75,85.8,64.2
Hillsborough County,Florida,74.9,84.7,65.1
Holmes County,Florida,68.7,80.4,56.9
