# Title: January - December 2021 Contiguous U.S. County Maximum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,76.7,1,100,75.7
AL-003,Baldwin County,Alabama,77.7,0.4,77,77.3
AL-005,Barbour County,Alabama,76.2,-0.2,58,76.4
AL-007,Bibb County,Alabama,74.6,-0.2,57,74.8
AL-009,Blount County,Alabama,72.1,-0.6,39,72.7
AL-011,Bullock County,Alabama,76,0.2,74,75.8
AL-013,Butler County,Alabama,77.9,1.3,110,76.6
AL-015,Calhoun County,Alabama,73.5,0.4,78,73.1
AL-017,Chambers County,Alabama,74.2,0,69,74.1
AL-019,Cherokee County,Alabama,72.6,-0,65,72.6
AL-021,Chilton County,Alabama,75.2,0.5,85,74.8
AL-023,Choctaw County,Alabama,76.3,-0.4,51,76.7
AL-025,Clarke County,Alabama,77,0.1,70,76.9
AL-027,Clay County,Alabama,73.4,0.3,77,73.1
AL-029,Cleburne County,Alabama,72.6,0.4,82,72.2
AL-031,Coffee County,Alabama,78.1,1,101,77.1
AL-033,Colbert County,Alabama,72.7,0.4,80,72.3
AL-035,Conecuh County,Alabama,78.5,1.1,109,77.4
AL-037,Coosa County,Alabama,74.8,0.2,77,74.5
AL-039,Covington County,Alabama,78.4,0.7,89,77.8
AL-041,Crenshaw County,Alabama,77.5,1,102,76.5
AL-043,Cullman County,Alabama,71.1,-1.4,19,72.6
AL-045,Dale County,Alabama,77.6,0.7,91,76.9
AL-047,Dallas County,Alabama,76.7,0.9,100,75.8
AL-049,DeKalb County,Alabama,70.1,-0.4,53,70.4
AL-051,Elmore County,Alabama,76.2,0.4,80,75.8
AL-053,Escambia County,Alabama,78.3,0.3,76,78
AL-055,Etowah County,Alabama,72.6,0.1,69,72.5
AL-057,Fayette County,Alabama,73.8,-0.1,58,73.9
AL-059,Franklin County,Alabama,72.2,0.2,71,72
AL-061,Geneva County,Alabama,78.4,0.7,92,77.7
AL-063,Greene County,Alabama,75,-0.3,48,75.3
AL-065,Hale County,Alabama,74.8,-0.3,51,75.1
AL-067,Henry County,Alabama,77,0,71,76.9
AL-069,Houston County,Alabama,78,0.3,78,77.7
AL-071,Jackson County,Alabama,70.4,-0.3,53,70.7
AL-073,Jefferson County,Alabama,74,0.2,67,73.8
AL-075,Lamar County,Alabama,74,-0,61,74
AL-077,Lauderdale County,Alabama,72.2,0.2,73,72
AL-079,Lawrence County,Alabama,71.6,-0.6,45,72.1
AL-081,Lee County,Alabama,74.5,-0.6,40,75.1
AL-083,Limestone County,Alabama,71,-0.9,33,71.9
AL-085,Lowndes County,Alabama,77.5,1.2,104,76.2
AL-087,Macon County,Alabama,75.6,-0.4,46,76
AL-089,Madison County,Alabama,71.2,-0.6,45,71.7
AL-091,Marengo County,Alabama,75.9,0.1,59,75.9
AL-093,Marion County,Alabama,73,0.2,74,72.8
AL-095,Marshall County,Alabama,71.6,0,68,71.5
AL-097,Mobile County,Alabama,77.7,0.5,87,77.1
AL-099,Monroe County,Alabama,78.1,1.1,105,77
AL-101,Montgomery County,Alabama,77.4,1.1,102,76.3
AL-103,Morgan County,Alabama,71.1,-1.1,28,72.2
AL-105,Perry County,Alabama,75.2,0.1,70,75.1
AL-107,Pickens County,Alabama,74.8,-0.1,59,74.8
AL-109,Pike County,Alabama,76.8,0.4,85,76.4
AL-111,Randolph County,Alabama,73.5,0.5,85,73
AL-113,Russell County,Alabama,75.8,-0.4,47,76.2
AL-115,St. Clair County,Alabama,73.4,-0,62,73.4
AL-117,Shelby County,Alabama,74.5,0.2,71,74.3
AL-119,Sumter County,Alabama,75.6,-0,58,75.6
AL-121,Talladega County,Alabama,74.4,0.2,71,74.2
AL-123,Tallapoosa County,Alabama,74.6,-0.3,53,74.8
AL-125,Tuscaloosa County,Alabama,74.2,-0.6,47,74.8
AL-127,Walker County,Alabama,73.5,-0.2,56,73.7
AL-129,Washington County,Alabama,77.4,-0.4,50,77.8
AL-131,Wilcox County,Alabama,77.2,0.9,98,76.3
AL-133,Winston County,Alabama,71.8,-0.5,45,72.3
AZ-001,Apache County,Arizona,67.1,3.1,123,64
AZ-003,Cochise County,Arizona,78.2,2.9,124,75.3
AZ-005,Coconino County,Arizona,69.1,3.2,124,65.9
AZ-007,Gila County,Arizona,75.3,3,117,72.4
AZ-009,Graham County,Arizona,76.6,3,125,73.6
AZ-011,Greenlee County,Arizona,72.2,2.9,125,69.3
AZ-012,La Paz County,Arizona,87.3,3,125,84.3
AZ-013,Maricopa County,Arizona,85.6,2.2,114,83.4
AZ-015,Mohave County,Arizona,77,2.9,124,74.1
AZ-017,Navajo County,Arizona,68.8,3.3,122,65.5
AZ-019,Pima County,Arizona,84.1,2.9,125,81.2
AZ-021,Pinal County,Arizona,84.2,2.4,117,81.7
AZ-023,Santa Cruz County,Arizona,77.1,2.4,111,74.7
AZ-025,Yavapai County,Arizona,75.8,3.1,123,72.6
AZ-027,Yuma County,Arizona,88.7,3.1,125,85.6
AR-001,Arkansas County,Arkansas,72.8,-0,60,72.8
AR-003,Ashley County,Arkansas,75.7,0.9,95,74.8
AR-005,Baxter County,Arkansas,69.6,0.5,78,69.2
AR-007,Benton County,Arkansas,69.6,1,94,68.6
AR-009,Boone County,Arkansas,69.5,1.2,101,68.3
AR-011,Bradley County,Arkansas,74.8,0.3,79,74.6
AR-013,Calhoun County,Arkansas,74.3,-0.4,54,74.7
AR-015,Carroll County,Arkansas,69.1,1,96,68.1
AR-017,Chicot County,Arkansas,74.5,-0.3,56,74.8
AR-019,Clark County,Arkansas,73.8,-0.3,57,74.1
AR-021,Clay County,Arkansas,70.1,0,69,70.1
AR-023,Cleburne County,Arkansas,70.3,0.5,80,69.7
AR-025,Cleveland County,Arkansas,73.1,-0.8,35,73.9
AR-027,Columbia County,Arkansas,75.3,0.2,75,75.1
AR-029,Conway County,Arkansas,72.9,1,97,71.9
AR-031,Craighead County,Arkansas,70,-0.3,55,70.3
AR-033,Crawford County,Arkansas,71.8,1.1,98,70.6
AR-035,Crittenden County,Arkansas,71.9,0.3,76,71.5
AR-037,Cross County,Arkansas,71.1,-0,71,71.1
AR-039,Dallas County,Arkansas,73.3,-0.9,31,74.1
AR-041,Desha County,Arkansas,72.8,-1,37,73.7
AR-043,Drew County,Arkansas,74,-0.1,60,74.1
AR-045,Faulkner County,Arkansas,72,0.1,68,71.9
AR-047,Franklin County,Arkansas,71.2,0.7,90,70.5
AR-049,Fulton County,Arkansas,69.8,1.2,97,68.6
AR-051,Garland County,Arkansas,72.8,0.5,79,72.4
AR-053,Grant County,Arkansas,73.3,-0.6,47,73.9
AR-055,Greene County,Arkansas,70,-0.1,68,70.1
AR-057,Hempstead County,Arkansas,74.4,0.2,78,74.2
AR-059,Hot Spring County,Arkansas,73.3,-0.2,64,73.5
AR-061,Howard County,Arkansas,73.2,0.4,83,72.9
AR-063,Independence County,Arkansas,69.8,-0,68,69.8
AR-065,Izard County,Arkansas,69.5,0.3,72,69.2
AR-067,Jackson County,Arkansas,70,-0.2,57,70.2
AR-069,Jefferson County,Arkansas,72.8,-0.5,50,73.3
AR-071,Johnson County,Arkansas,70.3,0.6,85,69.7
AR-073,Lafayette County,Arkansas,75.8,0.6,89,75.1
AR-075,Lawrence County,Arkansas,69.5,-0.4,51,69.9
AR-077,Lee County,Arkansas,72.2,0.3,76,71.9
AR-079,Lincoln County,Arkansas,73,-0.6,50,73.5
AR-081,Little River County,Arkansas,74.8,0.8,93,74
AR-083,Logan County,Arkansas,72.3,0.7,88,71.6
AR-085,Lonoke County,Arkansas,72.1,-0.6,48,72.7
AR-087,Madison County,Arkansas,68.2,0.9,95,67.2
AR-089,Marion County,Arkansas,69.9,0.7,89,69.1
AR-091,Miller County,Arkansas,75.6,0.7,89,74.9
AR-093,Mississippi County,Arkansas,71.3,0.7,89,70.6
AR-095,Monroe County,Arkansas,72.5,0.5,86,71.9
AR-097,Montgomery County,Arkansas,72.6,0.8,92,71.8
AR-099,Nevada County,Arkansas,74.5,0,70,74.4
AR-101,Newton County,Arkansas,67.4,0.2,73,67.2
AR-103,Ouachita County,Arkansas,74.1,-0.7,41,74.9
AR-105,Perry County,Arkansas,73.2,0.9,93,72.3
AR-107,Phillips County,Arkansas,72.8,0.5,79,72.3
AR-109,Pike County,Arkansas,73.2,0.1,70,73
AR-111,Poinsett County,Arkansas,70.5,-0.1,59,70.7
AR-113,Polk County,Arkansas,71.1,0.6,86,70.5
AR-115,Pope County,Arkansas,71.4,0.8,92,70.6
AR-117,Prairie County,Arkansas,72,-0.2,58,72.2
AR-119,Pulaski County,Arkansas,72.5,-0.4,58,72.9
AR-121,Randolph County,Arkansas,70,0.4,78,69.6
AR-123,St. Francis County,Arkansas,71.7,0.2,75,71.5
AR-125,Saline County,Arkansas,72.5,-0.2,61,72.8
AR-127,Scott County,Arkansas,72.1,1,94,71.1
AR-129,Searcy County,Arkansas,68.2,-0.4,53,68.5
AR-131,Sebastian County,Arkansas,73.1,1.1,96,71.9
AR-133,Sevier County,Arkansas,74,0.9,92,73.1
AR-135,Sharp County,Arkansas,69.3,0.2,68,69.1
AR-137,Stone County,Arkansas,69.2,0.3,75,68.9
AR-139,Union County,Arkansas,75.6,0.5,83,75.1
AR-141,Van Buren County,Arkansas,69.7,0.2,73,69.5
AR-143,Washington County,Arkansas,69.6,1.2,100,68.4
AR-145,White County,Arkansas,71.1,-0.1,66,71.2
AR-147,Woodruff County,Arkansas,71.1,-0.1,63,71.2
AR-149,Yell County,Arkansas,73,1,95,72
CA-001,Alameda County,California,71.3,2.7,124,68.6
CA-003,Alpine County,California,58.1,3.2,126,54.9
CA-005,Amador County,California,72.5,2.8,122,69.7
CA-007,Butte County,California,74.6,3.7,125,70.9
CA-009,Calaveras County,California,73.4,3,125,70.4
CA-011,Colusa County,California,76.5,2.7,121,73.8
CA-013,Contra Costa County,California,72.8,2.8,124,70
CA-015,Del Norte County,California,63.6,3.4,121,60.2
CA-017,El Dorado County,California,67.8,2.5,121,65.3
CA-019,Fresno County,California,70.6,3.1,127,67.5
CA-021,Glenn County,California,75.1,3.3,125,71.8
CA-023,Humboldt County,California,65.2,2.7,119,62.5
CA-025,Imperial County,California,89.6,3.2,126,86.4
CA-027,Inyo County,California,75.8,3.1,127,72.7
CA-029,Kern County,California,76.7,3,125,73.7
CA-031,Kings County,California,78.9,2.9,122,76
CA-033,Lake County,California,71.2,2.7,121,68.5
CA-035,Lassen County,California,62.9,3.3,125,59.6
CA-037,Los Angeles County,California,75.1,3.4,122,71.6
CA-039,Madera County,California,71.3,2.8,126,68.5
CA-041,Marin County,California,65.4,2,118,63.4
CA-043,Mariposa County,California,70.5,2.8,125,67.7
CA-045,Mendocino County,California,68.7,2.4,122,66.3
CA-047,Merced County,California,76.2,2.6,122,73.6
CA-049,Modoc County,California,63,4.2,127,58.8
CA-051,Mono County,California,60.7,3.2,126,57.5
CA-053,Monterey County,California,73.7,2.1,117,71.6
CA-055,Napa County,California,73.7,2.7,123,71
CA-057,Nevada County,California,66.6,2.8,123,63.8
CA-059,Orange County,California,75.1,2.2,113,72.9
CA-061,Placer County,California,67.9,2.7,123,65.2
CA-063,Plumas County,California,62.9,3.2,125,59.7
CA-065,Riverside County,California,83.1,3.2,125,79.9
CA-067,Sacramento County,California,76.9,3,125,73.9
CA-069,San Benito County,California,73.3,2.7,123,70.6
CA-071,San Bernardino County,California,81,3.5,127,77.4
CA-073,San Diego County,California,77.2,3,121,74.2
CA-075,San Francisco County,California,64.7,1,96,63.6
CA-077,San Joaquin County,California,77,3.7,123,73.3
CA-079,San Luis Obispo County,California,75.2,3.6,123,71.6
CA-081,San Mateo County,California,66.9,1.7,115,65.2
CA-083,Santa Barbara County,California,71.8,3.4,121,68.4
CA-085,Santa Clara County,California,71,2.4,120,68.6
CA-087,Santa Cruz County,California,69.8,2.6,122,67.2
CA-089,Shasta County,California,70.4,3.8,125,66.6
CA-091,Sierra County,California,62.1,3,125,59
CA-093,Siskiyou County,California,63,3.7,125,59.3
CA-095,Solano County,California,74.9,2.7,123,72.2
CA-097,Sonoma County,California,69.5,2.1,119,67.4
CA-099,Stanislaus County,California,75.5,2.6,121,72.9
CA-101,Sutter County,California,78.1,3.3,125,74.9
CA-103,Tehama County,California,72.9,3.3,124,69.6
CA-105,Trinity County,California,67.3,3.9,125,63.4
CA-107,Tulare County,California,68.6,2.6,126,66
CA-109,Tuolumne County,California,65,3,125,62
CA-111,Ventura County,California,71.2,2.8,117,68.3
CA-113,Yolo County,California,77.2,2.9,125,74.3
CA-115,Yuba County,California,75.3,3.2,125,72.1
CO-001,Adams County,Colorado,66.6,3.1,124,63.5
CO-003,Alamosa County,Colorado,61.6,4,126,57.7
CO-005,Arapahoe County,Colorado,66,2.9,124,63
CO-007,Archuleta County,Colorado,59.6,2.2,121,57.4
CO-009,Baca County,Colorado,70.4,2.2,117,68.1
CO-011,Bent County,Colorado,70.7,2.8,119,67.9
CO-013,Boulder County,Colorado,58.9,1.9,114,57
CO-014,Broomfield County,Colorado,66.2,1.9,113,64.3
CO-015,Chaffee County,Colorado,53,2.5,123,50.5
CO-017,Cheyenne County,Colorado,68.2,3.8,125,64.4
CO-019,Clear Creek County,Colorado,50.3,2.3,122,48
CO-021,Conejos County,Colorado,56.6,3.6,126,53
CO-023,Costilla County,Colorado,58.6,3.5,124,55.1
CO-025,Crowley County,Colorado,69.3,2.8,116,66.5
CO-027,Custer County,Colorado,56.3,2,117,54.2
CO-029,Delta County,Colorado,61.6,4,126,57.6
