ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,
AL-001,Autauga County,Alabama,77.3,1.6,117,75.7,
AL-003,Baldwin County,Alabama,78.9,1.6,116,77.3,
AL-005,Barbour County,Alabama,76.9,0.5,89,76.4,
AL-007,Bibb County,Alabama,75.3,0.6,83,74.8,
AL-009,Blount County,Alabama,72.3,-0.4,45,72.7,
AL-011,Bullock County,Alabama,76.6,0.8,96,75.8,
AL-013,Butler County,Alabama,78.6,2,119,76.6,
AL-015,Calhoun County,Alabama,74,0.9,99,73.1,
AL-017,Chambers County,Alabama,74.5,0.4,84,74.1,
AL-019,Cherokee County,Alabama,72.8,0.2,74,72.6,
AL-021,Chilton County,Alabama,75.7,1,98,74.8,
AL-023,Choctaw County,Alabama,77.2,0.5,88,76.7,
AL-025,Clarke County,Alabama,77.9,0.9,103,76.9,
AL-027,Clay County,Alabama,73.8,0.7,97,73.1,
AL-029,Cleburne County,Alabama,73.3,1.1,105,72.2,
AL-031,Coffee County,Alabama,78.8,1.7,118,77.1,
AL-033,Colbert County,Alabama,72.8,0.5,84,72.3,
AL-035,Conecuh County,Alabama,79.2,1.7,121,77.4,
AL-037,Coosa County,Alabama,75.3,0.7,93,74.5,
AL-039,Covington County,Alabama,79.4,1.6,119,77.8,
AL-041,Crenshaw County,Alabama,78.2,1.7,118,76.5,
AL-043,Cullman County,Alabama,71.6,-1,32,72.6,
AL-045,Dale County,Alabama,78.3,1.3,110,76.9,
AL-047,Dallas County,Alabama,77.4,1.7,116,75.8,
AL-049,DeKalb County,Alabama,70.1,-0.4,47,70.4,
AL-051,Elmore County,Alabama,76.8,1,106,75.8,
AL-053,Escambia County,Alabama,79,1,109,78,
AL-055,Etowah County,Alabama,72.8,0.3,80,72.5,
AL-057,Fayette County,Alabama,74.2,0.3,74,73.9,
AL-059,Franklin County,Alabama,72.2,0.2,71,72,
AL-061,Geneva County,Alabama,79.7,1.9,118,77.7,
