# Title: January - December 2020 Contiguous U.S. County Minimum Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,55.1,3,128,52.1
AL-003,Baldwin County,Alabama,58.8,2.6,127,56.2
AL-005,Barbour County,Alabama,55.3,2.2,125,53.1
AL-007,Bibb County,Alabama,52.7,2,119,50.7
AL-009,Blount County,Alabama,53,4.5,127,48.5
AL-011,Bullock County,Alabama,55.2,2.8,128,52.4
AL-013,Butler County,Alabama,55.6,3.1,128,52.6
AL-015,Calhoun County,Alabama,52.2,3.4,127,48.8
AL-017,Chambers County,Alabama,51.6,2.7,124,49
AL-019,Cherokee County,Alabama,51.9,3.3,128,48.6
AL-021,Chilton County,Alabama,53,2.3,126,50.6
AL-023,Choctaw County,Alabama,55.4,3,127,52.3
AL-025,Clarke County,Alabama,56.4,3.6,129,52.8
AL-027,Clay County,Alabama,51.2,3,129,48.2
AL-029,Cleburne County,Alabama,51.3,3.7,129,47.6
AL-031,Coffee County,Alabama,55.9,2.2,126,53.7
AL-033,Colbert County,Alabama,50.9,3.4,128,47.5
AL-035,Conecuh County,Alabama,56.8,3.4,127,53.4
AL-037,Coosa County,Alabama,52.6,2.6,128,50
AL-039,Covington County,Alabama,56,2.7,128,53.4
AL-041,Crenshaw County,Alabama,55.1,2.8,128,52.3
AL-043,Cullman County,Alabama,52.7,4.7,128,48
AL-045,Dale County,Alabama,56.4,2,125,54.4
AL-047,Dallas County,Alabama,55.2,2.3,123,52.9
AL-049,DeKalb County,Alabama,50.7,2.7,125,48.1
AL-051,Elmore County,Alabama,55,3.3,129,51.7
AL-053,Escambia County,Alabama,57.4,3.5,129,53.9
AL-055,Etowah County,Alabama,52.3,3.1,125,49.2
AL-057,Fayette County,Alabama,52.8,2.8,127,50
AL-059,Franklin County,Alabama,50.8,2.9,127,47.9
AL-061,Geneva County,Alabama,56.6,2.2,125,54.4
AL-063,Greene County,Alabama,54,1.6,118,52.4
AL-065,Hale County,Alabama,53.7,1.4,111,52.3
AL-067,Henry County,Alabama,56.7,2.3,125,54.4
AL-069,Houston County,Alabama,57.7,2.5,127,55.2
AL-071,Jackson County,Alabama,50.9,2.8,127,48.1
AL-073,Jefferson County,Alabama,52.7,2.9,124,49.8
AL-075,Lamar County,Alabama,52.7,2.6,122,50.1
AL-077,Lauderdale County,Alabama,50.4,3.5,127,46.9
AL-079,Lawrence County,Alabama,50.5,2.5,125,48
AL-081,Lee County,Alabama,53.2,2.3,122,50.8
AL-083,Limestone County,Alabama,50.9,3.1,123,47.8
AL-085,Lowndes County,Alabama,56.1,3.2,128,52.9
AL-087,Macon County,Alabama,54.7,2.6,122,52
AL-089,Madison County,Alabama,51.3,3.1,125,48.1
AL-091,Marengo County,Alabama,54.4,1.7,120,52.7
AL-093,Marion County,Alabama,51.5,2.8,127,48.7
AL-095,Marshall County,Alabama,52.1,3,125,49.1
AL-097,Mobile County,Alabama,58.3,2.6,126,55.7
AL-099,Monroe County,Alabama,57,3.8,128,53.2
AL-101,Montgomery County,Alabama,56.6,4,129,52.6
AL-103,Morgan County,Alabama,52.1,3.8,128,48.2
AL-105,Perry County,Alabama,53.8,1.7,118,52.1
AL-107,Pickens County,Alabama,53.6,2.3,119,51.3
AL-109,Pike County,Alabama,55.5,2.6,128,52.9
AL-111,Randolph County,Alabama,51.1,3.2,128,47.9
AL-113,Russell County,Alabama,54.1,1.9,118,52.2
AL-115,St. Clair County,Alabama,52.5,3.6,127,48.9
AL-117,Shelby County,Alabama,52.3,2.6,122,49.8
AL-119,Sumter County,Alabama,54.1,1.7,118,52.4
AL-121,Talladega County,Alabama,52.3,3,129,49.3
AL-123,Tallapoosa County,Alabama,52,2.6,124,49.4
AL-125,Tuscaloosa County,Alabama,53.4,2.1,121,51.3
AL-127,Walker County,Alabama,52.4,2.8,128,49.5
AL-129,Washington County,Alabama,56.6,3.7,129,53
AL-131,Wilcox County,Alabama,55.7,2.6,127,53.1
AL-133,Winston County,Alabama,50.8,2.7,126,48.1
AZ-001,Apache County,Arizona,36.8,1.4,107,35.5
AZ-003,Cochise County,Arizona,47.2,1.9,121,45.4
AZ-005,Coconino County,Arizona,40,2.4,122,37.6
AZ-007,Gila County,Arizona,47.2,2.5,123,44.7
AZ-009,Graham County,Arizona,49,2.2,121,46.8
AZ-011,Greenlee County,Arizona,44.8,2.6,124,42.2
AZ-012,La Paz County,Arizona,58.3,2,106,56.3
AZ-013,Maricopa County,Arizona,58.1,3.2,123,54.9
AZ-015,Mohave County,Arizona,51,2.4,118,48.6
AZ-017,Navajo County,Arizona,38.7,1.8,119,36.8
AZ-019,Pima County,Arizona,54,2.2,121,51.8
AZ-021,Pinal County,Arizona,56.7,3,126,53.6
AZ-023,Santa Cruz County,Arizona,46.8,1.7,115,45.1
AZ-025,Yavapai County,Arizona,45.9,2.1,116,43.8
AZ-027,Yuma County,Arizona,58.8,2.6,116,56.2
AR-001,Arkansas County,Arkansas,53.9,2.4,124,51.5
AR-003,Ashley County,Arkansas,54.4,2.8,124,51.5
AR-005,Baxter County,Arkansas,46.9,1.8,115,45
AR-007,Benton County,Arkansas,47.8,1.8,116,46
AR-009,Boone County,Arkansas,46.6,1.3,104,45.4
AR-011,Bradley County,Arkansas,53.6,2.8,124,50.8
AR-013,Calhoun County,Arkansas,52.8,2,121,50.8
AR-015,Carroll County,Arkansas,47,1.3,107,45.7
AR-017,Chicot County,Arkansas,55.2,2.9,125,52.2
AR-019,Clark County,Arkansas,51.6,1.5,108,50.1
AR-021,Clay County,Arkansas,50.1,2.8,125,47.3
AR-023,Cleburne County,Arkansas,49.4,1.5,108,48
