ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean,
AL-001,Autauga County,Alabama,53.1,0.9,94,52.1,
AL-003,Baldwin County,Alabama,57.8,1.6,112,56.2,
AL-005,Barbour County,Alabama,53.7,0.6,91,53.1,
AL-007,Bibb County,Alabama,51.5,0.8,93,50.7,
AL-009,Blount County,Alabama,51.8,3.2,119,48.5,
AL-011,Bullock County,Alabama,53.1,0.7,93,52.4,
AL-013,Butler County,Alabama,53.1,0.6,90,52.6,
AL-015,Calhoun County,Alabama,50.6,1.8,112,48.8,
AL-017,Chambers County,Alabama,50.1,1.2,101,49,
AL-019,Cherokee County,Alabama,49.9,1.3,102,48.6,
AL-021,Chilton County,Alabama,51.8,1.2,103,50.6,
AL-023,Choctaw County,Alabama,53.8,1.5,110,52.3,
AL-025,Clarke County,Alabama,54.4,1.6,111,52.8,
AL-027,Clay County,Alabama,49.4,1.2,102,48.2,
AL-029,Cleburne County,Alabama,49.7,2.1,114,47.6,
AL-031,Coffee County,Alabama,54.3,0.6,94,53.7,
AL-033,Colbert County,Alabama,49.1,1.6,110,47.5,
AL-035,Conecuh County,Alabama,54.5,1.1,100,53.4,
AL-037,Coosa County,Alabama,51.1,1.1,98,50,
AL-039,Covington County,Alabama,54.2,0.8,99,53.4,
AL-041,Crenshaw County,Alabama,52.9,0.6,90,52.3,
AL-043,Cullman County,Alabama,51.4,3.4,119,48,
AL-045,Dale County,Alabama,55,0.6,91,54.4,
AL-047,Dallas County,Alabama,53.5,0.6,89,52.9,
AL-049,DeKalb County,Alabama,49.1,1,98,48.1,
AL-051,Elmore County,Alabama,52.8,1,99,51.7,
AL-053,Escambia County,Alabama,55.6,1.6,111,53.9,
AL-055,Etowah County,Alabama,50.9,1.7,110,49.2,
AL-057,Fayette County,Alabama,51.1,1,101,50,
AL-059,Franklin County,Alabama,49.4,1.6,110,47.9,
AL-061,Geneva County,Alabama,55,0.6,93,54.4,
AL-063,Greene County,Alabama,52.5,0.2,58,52.4,
AL-065,Hale County,Alabama,52.2,-0.1,49,52.3,
AL-067,Henry County,Alabama,55.2,0.8,97,54.4,
AL-069,Houston County,Alabama,55.8,0.6,91,55.2,
AL-071,Jackson County,Alabama,49.4,1.2,104,48.1,
AL-073,Jefferson County,Alabama,51.4,1.6,109,49.8,
AL-075,Lamar County,Alabama,51.4,1.3,105,50.1,
AL-077,Lauderdale County,Alabama,48.3,1.3,102,46.9,
AL-079,Lawrence County,Alabama,48.9,0.9,100,48,
AL-081,Lee County,Alabama,51.4,0.5,82,50.8,
AL-083,Limestone County,Alabama,49,1.2,103,47.8,
AL-085,Lowndes County,Alabama,53.6,0.7,92,52.9,
AL-087,Macon County,Alabama,52.6,0.6,89,52,
AL-089,Madison County,Alabama,49.6,1.5,109,48.1,
AL-091,Marengo County,Alabama,53.1,0.4,78,52.7,
AL-093,Marion County,Alabama,49.9,1.1,101,48.7,
AL-095,Marshall County,Alabama,51,1.9,114,49.1,
AL-097,Mobile County,Alabama,56.9,1.1,106,55.7,
AL-099,Monroe County,Alabama,54.8,1.6,109,53.2,
AL-101,Montgomery County,Alabama,53.5,0.8,95,52.6,
AL-103,Morgan County,Alabama,50.5,2.2,117,48.2,
AL-105,Perry County,Alabama,52.4,0.3,77,52.1,
AL-107,Pickens County,Alabama,52.3,0.9,96,51.3,
AL-109,Pike County,Alabama,53.6,0.7,94,52.9,
AL-111,Randolph County,Alabama,49.7,1.7,108,47.9,
AL-113,Russell County,Alabama,52.1,-0.1,45,52.2,
AL-115,St. Clair County,Alabama,50.6,1.7,112,48.9,
AL-117,Shelby County,Alabama,50.9,1.1,100,49.8,
AL-119,Sumter County,Alabama,52.8,0.4,76,52.4,
AL-121,Talladega County,Alabama,50.2,0.9,93,49.3,
AL-123,Tallapoosa County,Alabama,50.5,1,100,49.4,
AL-125,Tuscaloosa County,Alabama,52.2,0.9,95,51.3,
AL-127,Walker County,Alabama,50.9,1.4,109,49.5,
AL-129,Washington County,Alabama,54.6,1.6,112,53,
AL-131,Wilcox County,Alabama,53.9,0.8,102,53.1,
AL-133,Winston County,Alabama,49.3,1.2,102,48.1,
AZ-001,Apache County,Arizona,36.4,1,98,35.5,
AZ-003,Cochise County,Arizona,45.1,-0.3,40,45.4,
AZ-005,Coconino County,Arizona,39.6,2,118,37.6,
AZ-007,Gila County,Arizona,46.6,1.9,115,44.7,
AZ-009,Graham County,Arizona,47.2,0.4,68,46.8,
AZ-011,Greenlee County,Arizona,43.5,1.3,99,42.2,
AZ-012,La Paz County,Arizona,59.4,3.1,121,56.3,
AZ-013,Maricopa County,Arizona,57.7,2.8,119,54.9,
AZ-015,Mohave County,Arizona,51,2.4,118,48.6,
AZ-017,Navajo County,Arizona,37.7,0.9,91,36.8,
AZ-019,Pima County,Arizona,52.5,0.7,79,51.8,
AZ-021,Pinal County,Arizona,55.4,1.8,110,53.6,
AZ-023,Santa Cruz County,Arizona,45,-0.1,48,45.1,
AZ-025,Yavapai County,Arizona,46.2,2.4,121,43.8,
AZ-027,Yuma County,Arizona,58.9,2.7,118,56.2,
AR-001,Arkansas County,Arkansas,52.8,1.3,104,51.5,
AR-003,Ashley County,Arkansas,52.6,1.1,102,51.5,
AR-005,Baxter County,Arkansas,45.8,0.7,87,45,
AR-007,Benton County,Arkansas,46.3,0.3,76,46,
AR-009,Boone County,Arkansas,45.8,0.5,81,45.4,
AR-011,Bradley County,Arkansas,51.9,1.1,100,50.8,
AR-013,Calhoun County,Arkansas,51,0.2,71,50.8,
AR-015,Carroll County,Arkansas,45.8,0.1,60,45.7,
AR-017,Chicot County,Arkansas,53.1,0.9,94,52.2,
AR-019,Clark County,Arkansas,49.9,-0.2,52,50.1,
AR-021,Clay County,Arkansas,48.1,0.8,84,47.3,
AR-023,Cleburne County,Arkansas,48.5,0.5,78,48,
AR-025,Cleveland County,Arkansas,51.5,0.8,91,50.7,
AR-027,Columbia County,Arkansas,51.4,-0.2,47,51.6,
AR-029,Conway County,Arkansas,48.7,0.1,59,48.5,
AR-031,Craighead County,Arkansas,49.6,1,93,48.5,
AR-033,Crawford County,Arkansas,48.5,0.5,82,48,
AR-035,Crittenden County,Arkansas,51.3,0.4,72,50.9,
AR-037,Cross County,Arkansas,51.4,0.9,85,50.5,
AR-039,Dallas County,Arkansas,50.4,0,56,50.3,
AR-041,Desha County,Arkansas,52.7,1,94,51.7,
AR-043,Drew County,Arkansas,52.5,1.1,99,51.4,
AR-045,Faulkner County,Arkansas,49.4,0.3,68,49.1,
AR-047,Franklin County,Arkansas,48.3,0.4,74,48,
AR-049,Fulton County,Arkansas,45.9,1.4,100,44.5,
AR-051,Garland County,Arkansas,49.9,0.7,88,49.1,
AR-053,Grant County,Arkansas,50.8,0.5,82,50.2,
AR-055,Greene County,Arkansas,48.9,1.1,95,47.9,
AR-057,Hempstead County,Arkansas,51.2,0.3,73,50.9,
AR-059,Hot Spring County,Arkansas,50.4,0.4,74,49.9,
AR-061,Howard County,Arkansas,49.6,0,53,49.6,
AR-063,Independence County,Arkansas,48.1,0.4,75,47.7,
AR-065,Izard County,Arkansas,46.2,0.5,75,45.7,
AR-067,Jackson County,Arkansas,49.2,0.3,71,48.9,
AR-069,Jefferson County,Arkansas,51.9,0.9,92,51,
AR-071,Johnson County,Arkansas,47.8,0.3,75,47.5,
AR-073,Lafayette County,Arkansas,52.8,1,101,51.8,
AR-075,Lawrence County,Arkansas,48.4,0.8,92,47.5,
AR-077,Lee County,Arkansas,51.9,0.7,83,51.2,
AR-079,Lincoln County,Arkansas,52.5,1.2,101,51.3,
AR-081,Little River County,Arkansas,52.6,1.4,110,51.2,
AR-083,Logan County,Arkansas,48.7,0,51,48.7,
AR-085,Lonoke County,Arkansas,51.4,1,96,50.4,
AR-087,Madison County,Arkansas,46,0.3,76,45.7,
AR-089,Marion County,Arkansas,45.7,0.6,78,45,
AR-091,Miller County,Arkansas,53.9,1.7,116,52.2,
AR-093,Mississippi County,Arkansas,49.7,0,57,49.7,
AR-095,Monroe County,Arkansas,52.4,1.1,93,51.4,
AR-097,Montgomery County,Arkansas,48.9,0.4,76,48.5,
AR-099,Nevada County,Arkansas,50.4,-0.6,42,51,
AR-101,Newton County,Arkansas,45.9,0.3,75,45.6,
AR-103,Ouachita County,Arkansas,50.2,-0.9,28,51.2,
AR-105,Perry County,Arkansas,49.1,-0.1,49,49.2,
AR-107,Phillips County,Arkansas,52.3,0.8,90,51.5,
AR-109,Pike County,Arkansas,49.3,0,57,49.3,
AR-111,Poinsett County,Arkansas,50.2,0.7,86,49.5,
AR-113,Polk County,Arkansas,48.1,0,48,48.1,
AR-115,Pope County,Arkansas,47.7,0.2,60,47.5,
AR-117,Prairie County,Arkansas,52.2,1.3,101,50.9,
AR-119,Pulaski County,Arkansas,50.7,0.7,83,50,
AR-121,Randolph County,Arkansas,47.4,1,94,46.4,
AR-123,St. Francis County,Arkansas,51.8,0.8,85,51,
AR-125,Saline County,Arkansas,50.4,0.8,86,49.6,
AR-127,Scott County,Arkansas,48.4,0,58,48.4,
AR-129,Searcy County,Arkansas,45.6,0.1,61,45.5,
AR-131,Sebastian County,Arkansas,49.3,0.6,83,48.7,
AR-133,Sevier County,Arkansas,50.7,0.5,83,50.2,
AR-135,Sharp County,Arkansas,46.7,0.9,91,45.8,
AR-137,Stone County,Arkansas,46.7,0.2,70,46.5,
AR-139,Union County,Arkansas,51.6,0.3,72,51.4,
AR-141,Van Buren County,Arkansas,47,0.1,67,46.9,
AR-143,Washington County,Arkansas,46.6,0.3,78,46.2,
AR-145,White County,Arkansas,50.5,1,92,49.5,
AR-147,Woodruff County,Arkansas,51.1,0.8,83,50.4,
AR-149,Yell County,Arkansas,48.6,-0.4,31,49,
CA-001,Alameda County,California,48.5,1.4,103,47.1,
CA-003,Alpine County,California,33.7,2,119,31.7,
CA-005,Amador County,California,46.1,1.4,111,44.7,
CA-007,Butte County,California,48.2,1.6,115,46.6,
CA-009,Calaveras County,California,46.6,1.7,120,44.9,
CA-011,Colusa County,California,47.4,0.5,78,46.9,
CA-013,Contra Costa County,California,49.5,1.9,115,47.6,
CA-015,Del Norte County,California,43,1.6,115,41.4,
CA-017,El Dorado County,California,43,1.6,109,41.4,
CA-019,Fresno County,California,43.9,2.6,120,41.3,
CA-021,Glenn County,California,47.8,1.1,104,46.8,
CA-023,Humboldt County,California,43.2,-0.2,51,43.4,
CA-025,Imperial County,California,62.3,4.2,126,58.1,
CA-027,Inyo County,California,49.1,2.6,119,46.4,
CA-029,Kern County,California,49.7,2.4,118,47.3,
CA-031,Kings County,California,51,2.1,112,48.9,
CA-033,Lake County,California,45,0.8,93,44.1,
CA-035,Lassen County,California,33,0.4,73,32.7,
CA-037,Los Angeles County,California,51.5,3.4,124,48.1,
CA-039,Madera County,California,43.8,2,113,41.8,
CA-041,Marin County,California,47.2,1,96,46.2,
CA-043,Mariposa County,California,42.8,1.5,113,41.3,
CA-045,Mendocino County,California,43.7,0.4,76,43.4,
CA-047,Merced County,California,50,1.6,110,48.4,
CA-049,Modoc County,California,34.4,2.1,115,32.3,
CA-051,Mono County,California,31,2,112,29,
CA-053,Monterey County,California,44.9,2.1,111,42.8,
CA-055,Napa County,California,46.9,1.5,107,45.4,
CA-057,Nevada County,California,41.2,1.5,109,39.6,
CA-059,Orange County,California,55.3,3.5,123,51.8,
CA-061,Placer County,California,42.3,1.5,109,40.9,
CA-063,Plumas County,California,34.1,0.2,72,33.9,
CA-065,Riverside County,California,57.7,4.1,128,53.6,
CA-067,Sacramento County,California,49.2,1,96,48.3,
CA-069,San Benito County,California,46.6,2.3,114,44.2,
CA-071,San Bernardino County,California,55.5,2.9,123,52.6,
CA-073,San Diego County,California,51,2.7,122,48.3,
CA-075,San Francisco County,California,49.2,1.3,102,47.9,
CA-077,San Joaquin County,California,49.2,1,100,48.2,
CA-079,San Luis Obispo County,California,45.8,1.5,104,44.3,
CA-081,San Mateo County,California,47.2,1.6,100,45.6,
CA-083,Santa Barbara County,California,46.6,1.8,110,44.9,
CA-085,Santa Clara County,California,47.2,2,112,45.2,
CA-087,Santa Cruz County,California,45.9,1.8,102,44.1,
CA-089,Shasta County,California,43.1,1.1,111,42,
CA-091,Sierra County,California,35.1,1.3,102,33.8,
CA-093,Siskiyou County,California,38.1,1.7,115,36.4,
CA-095,Solano County,California,48.8,1.4,107,47.3,
