County,State,Administered_Dose_Count,Death Per 100k,Avg Temp (F),Max Temp (F),Min Temp (F),Population Estimate,Administered Dose Per 100k
Abbeville County,South Carolina,11411.0,3139.0685110911027,63.3,74.5,52.2,24434.0,46701.31783580257
Acadia Parish,Louisiana,37515.0,3917.576873373577,70.9,81.2,60.6,56489.0,66411.15969480784
Accomack County,Virginia,28028.0,4867.775805529649,60.1,69.1,51.1,33239.0,84322.63305153584
Ada County,Idaho,362247.0,3086.493873326815,52.0,63.8,40.3,524673.0,69042.43214344935
Adair County,Iowa,3907.0,4547.300040600893,51.2,62.7,39.7,7389.0,52875.8966030586
Adair County,Kentucky,8737.0,2777.200996677741,58.5,69.3,47.8,19264.0,45354.02823920266
Adair County,Missouri,13895.0,3152.615237640315,54.3,65.6,43.0,25122.0,55310.08677653053
Adair County,Oklahoma,12543.0,3327.0494726652064,61.3,72.8,49.7,19627.0,63906.86299485403
Adams County,Colorado,404976.0,2851.7056799752518,49.3,64.0,34.6,533365.0,75928.49174580259
Adams County,Idaho,2135.0,2161.941668366306,44.0,54.6,33.4,4903.0,43544.76850907608
Adams County,Illinois,38190.0,5836.346425412393,55.2,65.7,44.7,64441.0,59263.51236014339
Adams County,Indiana,13478.0,2590.3880070546734,52.9,63.0,42.8,36288.0,37141.75485008818
Adams County,Iowa,2217.0,3837.471783295711,51.8,63.0,40.5,3544.0,62556.43340857788
Adams County,Mississippi,20815.0,5044.180059834412,68.7,80.2,57.2,28746.0,72410.0744451402
Adams County,North Dakota,1294.0,7535.829865926953,44.2,56.7,31.8,2163.0,59824.318076745265
Adams County,Ohio,11252.0,4109.58904109589,55.5,67.2,43.9,27521.0,40885.14225500527
Adams County,Pennsylvania,69421.0,3090.4560272792,54.8,65.7,43.8,106748.0,65032.60014239143
Adams County,Washington,13893.0,1729.106628242075,51.1,62.7,39.5,20820.0,66729.10662824208
Adams County,Wisconsin,12802.0,3067.7420858781297,47.8,58.4,37.2,21449.0,59685.76623618817
Addison County,Vermont,31420.0,2545.0689289501597,46.6,56.5,36.6,37720.0,83297.98515376459
Aiken County,South Carolina,100170.0,3723.2541071529386,65.0,76.1,53.9,177130.0,56551.68520295828
Aitkin County,Minnesota,10358.0,4750.962613339958,42.6,53.0,32.2,16102.0,64327.41274375854
Alachua County,Florida,214684.0,5007.098051008064,71.3,82.6,60.0,285994.0,75065.9104736463
Alamance County,North Carolina,151112.0,3726.1741969692735,60.2,71.7,48.7,179165.0,84342.36597549745
Alameda County,California,1590789.0,2427.770394060368,59.2,69.9,48.4,1622188.0,98064.4043723662
Alamosa County,Colorado,10669.0,3638.546982888022,43.9,60.4,27.4,16655.0,64058.841188832186
Albany County,New York,269750.0,4840.538244610133,50.4,60.1,40.6,316659.0,85186.27293081833
Albany County,Wyoming,25550.0,2036.22866403534,40.5,52.9,28.1,38257.0,66785.16349949029
Albemarle County,Virginia,88416.0,3326.532729347488,58.5,69.9,47.1,115676.0,76434.17822193021
Alcona County,Michigan,6301.0,4175.803222423491,46.5,55.8,37.2,10489.0,60072.456859567166
Alcorn County,Mississippi,17301.0,6354.181924710707,62.5,74.0,51.0,34135.0,50684.048630437974
Alexander County,Illinois,2469.0,3556.9755058572946,59.6,70.0,49.2,4695.0,52587.85942492013
Alexander County,North Carolina,22936.0,2516.9303320264307,59.0,70.7,47.4,36473.0,62884.87374222027
Alfalfa County,Oklahoma,3030.0,1515.9527586814736,60.1,73.2,47.1,5673.0,53410.89370703331
Alger County,Michigan,6224.0,3585.702866278405,43.2,51.8,34.5,8757.0,71074.56891629554
Allamakee County,Iowa,8557.0,3801.335796504192,48.5,58.3,38.6,14074.0,60800.05684240444
Allegan County,Michigan,63638.0,2730.873633538081,50.9,59.9,41.8,121939.0,52188.38927660552
Allegany County,Maryland,45566.0,5997.948656964904,53.8,65.4,42.2,67273.0,67732.96865012709
Allegany County,New York,23001.0,3243.231656341772,48.5,58.4,38.4,46651.0,49304.40933742042
Alleghany County,North Carolina,9738.0,3949.920648915535,53.9,64.6,43.1,11342.0,85857.87339093635
Alleghany County,Virginia,7191.0,6413.155190133607,54.2,65.0,43.3,14595.0,49270.29804727646
Allegheny County,Pennsylvania,1058965.0,5245.728981691262,53.8,64.2,43.5,1224825.0,86458.47365950237
Allen County,Indiana,231187.0,4662.079103777769,52.5,62.6,42.4,394545.0,58595.85091687893
Allen County,Kansas,6613.0,3440.2191427650664,58.2,69.7,46.6,12412.0,53279.08475668708
Allen County,Kentucky,9754.0,2404.9935744446484,59.4,71.1,47.8,21788.0,44767.762070864694
Allen County,Ohio,49815.0,5907.4951903052415,53.7,63.4,43.9,100838.0,49401.01945695075
Allen Parish,Louisiana,11010.0,3744.5730824891466,70.1,81.1,59.1,22112.0,49791.96816208394
Allendale County,South Carolina,6250.0,3555.434930112634,65.0,76.4,53.7,7369.0,84814.7645542136
Alpena County,Michigan,16303.0,5597.8411292554665,46.8,56.2,37.3,28904.0,56403.957929698314
Amador County,California,23795.0,3592.356078543924,57.6,69.4,45.9,41811.0,56910.8607782641
Amelia County,Virginia,5170.0,3783.382789317508,59.6,71.0,48.1,13480.0,38353.115727002965
Amherst County,Virginia,16907.0,2528.9845840234425,56.5,66.9,46.2,31396.0,53850.80902025736
Amite County,Mississippi,5778.0,3648.931040025719,69.2,80.3,58.1,12442.0,46439.47918341102
Anderson County,Kansas,3903.0,3278.8976779790764,57.6,68.7,46.5,7838.0,49795.86629242154
Anderson County,Kentucky,15003.0,1909.5599886238977,58.3,69.9,46.7,24613.0,60955.59257303052
Anderson County,South Carolina,96154.0,4577.2400458052525,62.4,73.6,51.3,213076.0,45126.6214871689
Anderson County,Tennessee,49649.0,5566.218809980806,58.6,69.5,47.8,80234.0,61880.2502679662
Anderson County,Texas,26562.0,3756.754884300956,68.1,79.4,56.7,57736.0,46005.958154357766
Andrew County,Missouri,8033.0,2476.968058696972,54.8,66.3,43.4,18127.0,44315.110056821315
Andrews County,Texas,9573.0,2116.373767681097,65.4,79.6,51.1,18664.0,51291.2558936991
Androscoggin County,Maine,91196.0,5089.438755328968,47.7,56.9,38.5,113765.0,80161.73691381357
Angelina County,Texas,46693.0,4963.4100253094975,69.6,81.0,58.2,87319.0,53474.04344987918
Anne Arundel County,Maryland,528981.0,2865.374330201721,59.1,69.0,49.2,594582.0,88966.87084371879
Anoka County,Minnesota,236471.0,2334.0609653609563,47.1,57.0,37.2,372441.0,63492.20413434611
Anson County,North Carolina,14909.0,3306.38900305978,63.0,74.3,51.6,21897.0,68086.95255057771
Antrim County,Michigan,14652.0,2753.0828792658444,47.3,56.4,38.3,24409.0,60027.03920684993
Apache County,Arizona,96506.0,3039.854849621748,50.8,65.5,36.0,65036.0,148388.58478381205
Appanoose County,Iowa,6553.0,4447.561680006601,52.8,64.4,41.1,12119.0,54072.11816156449
Appling County,Georgia,7766.0,2784.851275938668,68.1,79.6,56.7,18457.0,42076.177060193964
Appomattox County,Virginia,5921.0,2437.144212523719,57.9,68.2,47.5,16864.0,35110.294117647056
Aransas County,Texas,15922.0,3621.8176085757073,73.4,81.4,65.4,25374.0,62749.270907227874
Arapahoe County,Colorado,516865.0,2669.8736855261936,48.9,63.6,34.2,656061.0,78783.07047667824
Archer County,Texas,5905.0,1550.5593088935652,66.7,80.0,53.4,9029.0,65400.37656440358
Archuleta County,Colorado,9381.0,2804.989780816125,43.5,57.8,29.3,14189.0,66114.59581365847
Arenac County,Michigan,8044.0,4232.419940574448,48.8,57.4,40.3,15145.0,53113.23869263783
Arkansas County,Arkansas,11974.0,4862.942294720059,65.1,75.2,55.0,16307.0,73428.58894953087
Arlington County,Virginia,229528.0,2181.822840597535,58.6,68.7,48.4,234162.0,98021.02817707398
Armstrong County,Pennsylvania,44176.0,3848.674969566439,51.8,62.6,40.9,64074.0,68945.28201766708
Armstrong County,Texas,867.0,6004.366812227075,61.5,75.3,47.7,1832.0,47325.32751091703
Aroostook County,Maine,52768.0,5005.122418375377,42.0,51.6,32.4,67351.0,78347.76024112485
Ascension Parish,Louisiana,73642.0,1752.6133462987725,71.3,81.5,61.1,131632.0,55945.36282970705
Ashe County,North Carolina,22704.0,4116.32117651406,52.3,63.2,41.4,27063.0,83893.13823301186
Ashland County,Ohio,25775.0,3862.8089672351034,51.8,61.9,41.7,52190.0,49386.85571948649
Ashland County,Wisconsin,13154.0,3943.0312830399903,42.5,52.3,32.7,16079.0,81808.57018471298
Ashley County,Arkansas,11939.0,3975.468185302815,66.4,77.8,55.0,18262.0,65376.19099770015
Ashtabula County,Ohio,57526.0,4216.015282151892,51.3,60.7,41.9,96845.0,59400.072280448134
Asotin County,Washington,11322.0,3796.1772140671424,50.2,61.4,39.0,22549.0,50210.652357089006
Assumption Parish,Louisiana,11049.0,2852.18253968254,71.6,81.3,61.8,20160.0,54806.54761904762
Atascosa County,Texas,32239.0,2834.852464081569,72.8,84.4,61.3,51784.0,62256.681600494354
Atchison County,Kansas,8879.0,3078.171828171828,55.7,67.3,44.0,16016.0,55438.31168831169
Atchison County,Missouri,3484.0,5600.156647738399,54.0,65.5,42.4,5107.0,68220.09007244957
Athens County,Ohio,36892.0,2763.690874876407,54.6,65.7,43.5,62706.0,58833.28549102159
Atkinson County,Georgia,4003.0,2001.6881707464129,68.1,79.7,56.4,8293.0,48269.624984927046
Atlantic County,New Jersey,222684.0,4130.618829779117,56.9,66.9,46.8,275213.0,80913.32894885053
Atoka County,Oklahoma,5949.0,3160.0688468158346,64.4,76.3,52.5,14525.0,40956.97074010327
Attala County,Mississippi,11659.0,4896.595426003802,65.4,77.2,53.5,17359.0,67164.00714326862
Audrain County,Missouri,11393.0,3648.438140526359,56.3,67.1,45.4,24394.0,46704.107567434614
Audubon County,Iowa,3408.0,4409.107336465487,50.3,61.8,38.9,5534.0,61582.941814239246
Auglaize County,Ohio,19162.0,3422.366992399566,53.3,63.4,43.3,46050.0,41611.29207383279
Augusta County,Virginia,42493.0,4737.56182345649,54.8,65.6,43.9,78247.0,54306.23538282618
Aurora County,South Dakota,1885.0,3774.263120057512,47.7,60.1,35.4,2782.0,67757.00934579439
Austin County,Texas,16714.0,2386.589639170376,72.5,82.7,62.4,31677.0,52763.834959118605
Autauga County,Alabama,32414.0,3001.226343177223,66.4,78.1,54.6,60342.0,53717.14560339399
Avery County,North Carolina,13528.0,3376.800865554353,51.4,61.0,41.9,17561.0,77034.3374523091
Avoyelles Parish,Louisiana,22683.0,4038.221203915851,69.3,80.4,58.2,38408.0,59058.00874817746
Baca County,Colorado,1521.0,6130.382775119618,54.7,69.8,39.5,3344.0,45484.44976076555
Bacon County,Georgia,4023.0,4431.859043509529,68.4,79.7,57.2,11124.0,36165.04854368932
Bailey County,Texas,3290.0,2203.237410071942,60.1,75.4,44.8,6672.0,49310.551558752995
Baker County,Florida,13306.0,2354.7659334461364,70.0,82.1,58.0,28368.0,46904.963338973495
Baker County,Georgia,1960.0,2952.971199416697,68.0,78.9,57.1,2743.0,71454.61173897193
Baker County,Oregon,14531.0,4600.283822138126,45.8,56.8,34.8,16912.0,85921.23935666982
Baldwin County,Alabama,149596.0,3342.708485367268,69.8,80.2,59.4,253507.0,59010.599312839484
Baldwin County,Georgia,23132.0,4039.542815005991,65.8,77.8,53.8,43396.0,53304.45202322795
