STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
Alabama,Autauga County,58915,59203,59726,60342
Alabama,Baldwin County,233227,239439,246531,253507
Alabama,Barbour County,24969,24533,24700,24585
Alabama,Bibb County,22188,22359,21986,21868
Alabama,Blount County,59107,59079,59516,59816
Alabama,Bullock County,10229,10143,10143,9897
Alabama,Butler County,19025,18890,18668,18382
Alabama,Calhoun County,116243,115678,115780,116429
Alabama,Chambers County,34651,34488,34164,34079
Alabama,Cherokee County,24969,25074,25353,25666
Alabama,Chilton County,45057,45259,45848,46431
Alabama,Choctaw County,12626,12548,12431,12252
Alabama,Clarke County,22987,22740,22574,22337
Alabama,Clay County,14212,14170,14183,14111
Alabama,Cleburne County,15064,15156,15372,15639
Alabama,Coffee County,53549,54199,54840,55643
Alabama,Colbert County,57304,57644,57993,58361
Alabama,Conecuh County,11554,11320,11224,11174
Alabama,Coosa County,10335,10314,10307,10268
Alabama,Covington County,37506,37570,37603,37952
Alabama,Crenshaw County,13163,13069,13048,13101
Alabama,Cullman County,88136,89639,90663,92016
Alabama,Dale County,49257,49395,49495,49871
Alabama,Dallas County,38171,37515,36729,36165
Alabama,DeKalb County,71659,71912,72082,72569
Alabama,Elmore County,87861,88789,89600,90441
Alabama,Escambia County,36685,36660,36636,36558
Alabama,Etowah County,103453,103010,102903,103241
Alabama,Fayette County,16331,16127,16082,15967
Alabama,Franklin County,32078,31998,31910,31802
Alabama,Geneva County,26698,26620,26760,26988
Alabama,Greene County,7700,7614,7452,7341
Alabama,Hale County,14772,14726,14599,14888
Alabama,Henry County,17169,17433,17670,17899
Alabama,Houston County,107284,107470,108047,108462
Alabama,Jackson County,52545,52719,52923,53467
Alabama,Jefferson County,674717,669990,665084,662895
Alabama,Lamar County,13953,13736,13706,13661
Alabama,Lauderdale County,94025,94853,95875,96814
Alabama,Lawrence County,33089,33073,33187,33502
Alabama,Lee County,174754,177596,180698,183215
Alabama,Limestone County,104203,107303,110868,114654
Alabama,Lowndes County,10285,9945,9783,9717
Alabama,Macon County,19464,18905,18532,18370
Alabama,Madison County,390503,396671,403605,412600
Alabama,Marengo County,19270,18985,18791,18684
Alabama,Marion County,29176,29001,29182,29244
Alabama,Marshall County,97702,98286,99428,100756
Alabama,Mobile County,414377,413383,411398,411640
Alabama,Monroe County,19706,19550,19412,19229
Alabama,Montgomery County,228342,226935,226301,224980
Alabama,Morgan County,123288,123375,124231,125133
Alabama,Perry County,8458,8328,7904,7738
Alabama,Pickens County,18969,18618,18749,18688
Alabama,Pike County,32900,32746,33008,33137
Alabama,Randolph County,22086,22184,22460,22786
Alabama,Russell County,59258,58681,58594,58744
Alabama,St. Clair County,91657,92874,93881,95552
Alabama,Shelby County,223912,227453,230033,233000
Alabama,Sumter County,12191,11967,11889,11727
Alabama,Talladega County,81575,80734,80748,81132
Alabama,Tallapoosa County,41284,41099,40913,40677
Alabama,Tuscaloosa County,231547,235670,236690,237373
Alabama,Walker County,65138,64636,64438,64728
Alabama,Washington County,15329,15223,15094,15022
