STNAME,CTYNAME,POPESTIMATE2023
Alabama,Autauga County,60342
Alabama,Baldwin County,253507
Alabama,Barbour County,24585
Alabama,Bibb County,21868
Alabama,Blount County,59816
Alabama,Bullock County,9897
Alabama,Butler County,18382
Alabama,Calhoun County,116429
Alabama,Chambers County,34079
Alabama,Cherokee County,25666
Alabama,Chilton County,46431
Alabama,Choctaw County,12252
Alabama,Clarke County,22337
Alabama,Clay County,14111
Alabama,Cleburne County,15639
Alabama,Coffee County,55643
Alabama,Colbert County,58361
Alabama,Conecuh County,11174
Alabama,Coosa County,10268
Alabama,Covington County,37952
Alabama,Crenshaw County,13101
Alabama,Cullman County,92016
Alabama,Dale County,49871
Alabama,Dallas County,36165
Alabama,DeKalb County,72569
Alabama,Elmore County,90441
Alabama,Escambia County,36558
Alabama,Etowah County,103241
Alabama,Fayette County,15967
Alabama,Franklin County,31802
Alabama,Geneva County,26988
Alabama,Greene County,7341
Alabama,Hale County,14888
Alabama,Henry County,17899
Alabama,Houston County,108462
Alabama,Jackson County,53467
Alabama,Jefferson County,662895
Alabama,Lamar County,13661
Alabama,Lauderdale County,96814
Alabama,Lawrence County,33502
Alabama,Lee County,183215
Alabama,Limestone County,114654
Alabama,Lowndes County,9717
Alabama,Macon County,18370
Alabama,Madison County,412600
Alabama,Marengo County,18684
Alabama,Marion County,29244
Alabama,Marshall County,100756
Alabama,Mobile County,411640
Alabama,Monroe County,19229
Alabama,Montgomery County,224980
Alabama,Morgan County,125133
Alabama,Perry County,7738
Alabama,Pickens County,18688
Alabama,Pike County,33137
Alabama,Randolph County,22786
Alabama,Russell County,58744
Alabama,St. Clair County,95552
Alabama,Shelby County,233000
Alabama,Sumter County,11727
Alabama,Talladega County,81132
Alabama,Tallapoosa County,40677
Alabama,Tuscaloosa County,237373
Alabama,Walker County,64728
Alabama,Washington County,15022
Alabama,Wilcox County,9944
Alabama,Winston County,23611
Alaska,Aleutians East Borough,3461
Alaska,Aleutians West Census Area,5160
Alaska,Anchorage Municipality,286075
Alaska,Bethel Census Area,18224
Alaska,Bristol Bay Borough,844
Alaska,Chugach Census Area,6769
Alaska,Copper River Census Area,2674
Alaska,Denali Borough,1584
Alaska,Dillingham Census Area,4607
Alaska,Fairbanks North Star Borough,94840
Alaska,Haines Borough,2070
Alaska,Hoonah-Angoon Census Area,2262
Alaska,Juneau City and Borough,31555
Alaska,Kenai Peninsula Borough,61223
Alaska,Ketchikan Gateway Borough,13738
Alaska,Kodiak Island Borough,12565
Alaska,Kusilvak Census Area,8001
Alaska,Lake and Peninsula Borough,1331
Alaska,Matanuska-Susitna Borough,115239
Alaska,Nome Census Area,9763
Alaska,North Slope Borough,10603
Alaska,Northwest Arctic Borough,7361
Alaska,Petersburg Borough,3427
Alaska,Prince of Wales-Hyder Census Area,5696
Alaska,Sitka City and Borough,8282
Alaska,Skagway Municipality,1095
Alaska,Southeast Fairbanks Census Area,7077
Alaska,Wrangell City and Borough,2064
Alaska,Yakutat City and Borough,687
Alaska,Yukon-Koyukuk Census Area,5129
Arizona,Apache County,65036
Arizona,Cochise County,124640
Arizona,Coconino County,144472
Arizona,Gila County,54003
Arizona,Graham County,39525
Arizona,Greenlee County,9369
Arizona,La Paz County,16710
Arizona,Maricopa County,4585871
Arizona,Mohave County,223682
Arizona,Navajo County,109175
Arizona,Pima County,1063162
Arizona,Pinal County,484239
Arizona,Santa Cruz County,49158
Arizona,Yavapai County,249081
Arizona,Yuma County,213221
Arkansas,Arkansas County,16307
Arkansas,Ashley County,18262
Arkansas,Baxter County,42875
Arkansas,Benton County,311013
Arkansas,Boone County,38530
Arkansas,Bradley County,10104
Arkansas,Calhoun County,4641
Arkansas,Carroll County,28814
Arkansas,Chicot County,9538
Arkansas,Clark County,21274
Arkansas,Clay County,14201
Arkansas,Cleburne County,25445
Arkansas,Cleveland County,7378
Arkansas,Columbia County,22150
Arkansas,Conway County,21077
Arkansas,Craighead County,113993
Arkansas,Crawford County,61891
Arkansas,Crittenden County,47139
Arkansas,Cross County,16420
Arkansas,Dallas County,6185
Arkansas,Desha County,10479
Arkansas,Drew County,16945
Arkansas,Faulkner County,129951
Arkansas,Franklin County,17468
Arkansas,Fulton County,12421
Arkansas,Garland County,99784
Arkansas,Grant County,18383
Arkansas,Greene County,46743
Arkansas,Hempstead County,19343
Arkansas,Hot Spring County,33258
Arkansas,Howard County,12533
Arkansas,Independence County,38320
Arkansas,Izard County,14169
Arkansas,Jackson County,16784
Arkansas,Jefferson County,63661
Arkansas,Johnson County,26129
Arkansas,Lafayette County,6095
Arkansas,Lawrence County,16318
Arkansas,Lee County,8201
Arkansas,Lincoln County,12898
Arkansas,Little River County,11805
Arkansas,Logan County,21400
Arkansas,Lonoke County,75944
Arkansas,Madison County,17775
Arkansas,Marion County,17514
Arkansas,Miller County,42415
Arkansas,Mississippi County,38663
Arkansas,Monroe County,6512
Arkansas,Montgomery County,8620
Arkansas,Nevada County,8120
Arkansas,Newton County,7071
Arkansas,Ouachita County,21793
Arkansas,Perry County,10184
Arkansas,Phillips County,14961
Arkansas,Pike County,10208
Arkansas,Poinsett County,22397
Arkansas,Polk County,19436
Arkansas,Pope County,64593
Arkansas,Prairie County,8036
Arkansas,Pulaski County,400009
Arkansas,Randolph County,18907
Arkansas,St. Francis County,22101
Arkansas,Saline County,129574
Arkansas,Scott County,9851
Arkansas,Searcy County,7806
Arkansas,Sebastian County,129098
Arkansas,Sevier County,15632
Arkansas,Sharp County,17968
Arkansas,Stone County,12671
Arkansas,Union County,37397
Arkansas,Van Buren County,16142
Arkansas,Washington County,261549
Arkansas,White County,78452
Arkansas,Woodruff County,5964
Arkansas,Yell County,20044
California,Alameda County,1622188
California,Alpine County,1141
California,Amador County,41811
California,Butte County,207172
California,Calaveras County,46565
California,Colusa County,22037
California,Contra Costa County,1155025
California,Del Norte County,26589
California,El Dorado County,192215
California,Fresno County,1017162
California,Glenn County,28129
California,Humboldt County,133985
California,Imperial County,179057
California,Inyo County,18527
California,Kern County,913820
California,Kings County,152682
California,Lake County,67878
California,Lassen County,28861
California,Los Angeles County,9663345
California,Madera County,162858
California,Marin County,254407
California,Mariposa County,16919
California,Mendocino County,89108
California,Merced County,291920
California,Modoc County,8500
California,Mono County,13066
California,Monterey County,430723
California,Napa County,133216
California,Nevada County,102037
California,Orange County,3135755
California,Placer County,423561
California,Plumas County,19131
California,Riverside County,2492442
California,Sacramento County,1584288
California,San Benito County,68175
California,San Bernardino County,2195611
California,San Diego County,3269973
California,San Francisco County,808988
California,San Joaquin County,800965
California,San Luis Obispo County,281639
California,San Mateo County,726353
California,Santa Barbara County,441257
California,Santa Clara County,1877592
California,Santa Cruz County,261547
California,Shasta County,180366
California,Sierra County,3200
California,Siskiyou County,42905
California,Solano County,449218
California,Sonoma County,481812
California,Stanislaus County,551430
California,Sutter County,97948
California,Tehama County,64896
California,Trinity County,15670
California,Tulare County,479468
California,Tuolumne County,54204
California,Ventura County,829590
California,Yolo County,220544
California,Yuba County,85722
Colorado,Adams County,533365
Colorado,Alamosa County,16655
Colorado,Arapahoe County,656061
Colorado,Archuleta County,14189
Colorado,Baca County,3344
Colorado,Bent County,5681
Colorado,Boulder County,326831
Colorado,Broomfield County,76860
Colorado,Chaffee County,20617
Colorado,Cheyenne County,1727
Colorado,Clear Creek County,9147
Colorado,Conejos County,7521
Colorado,Costilla County,3628
Colorado,Crowley County,5636
Colorado,Custer County,5534
Colorado,Delta County,31746
Colorado,Denver County,716577
Colorado,Dolores County,2513
Colorado,Douglas County,383906
Colorado,Eagle County,54381
Colorado,Elbert County,28806
Colorado,El Paso County,744215
Colorado,Fremont County,50318
Colorado,Garfield County,62707
Colorado,Gilpin County,5926
Colorado,Grand County,15935
Colorado,Gunnison County,17321
Colorado,Hinsdale County,765
Colorado,Huerfano County,7055
Colorado,Jackson County,1309
Colorado,Jefferson County,576366
Colorado,Kiowa County,1384
Colorado,Kit Carson County,6994
Colorado,Lake County,7365
Colorado,La Plata County,56407
Colorado,Larimer County,370771
Colorado,Las Animas County,14348
Colorado,Lincoln County,5480
Colorado,Logan County,20619
Colorado,Mesa County,159681
Colorado,Mineral County,944
Colorado,Moffat County,13327
Colorado,Montezuma County,26531
Colorado,Montrose County,44156
Colorado,Morgan County,29524
Colorado,Otero County,18136
Colorado,Ouray County,5176
Colorado,Park County,18117
Colorado,Phillips County,4476
Colorado,Pitkin County,16640
Colorado,Prowers County,11751
